,Marca,Descripcion,Promo,Precio Lista,Precio Final
0,Stella Artois,Cerveza blanca Stella Artois lata 269 cc. x 10 uni ,40% off Max 6 unidades,"754,00","452,40"
1,Andes,Cerveza rubia Andes Origen 6 x 473 cc. ,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,"597,50","448,13"
2,Stella Artois,Cerveza Stella Artois blanca lata 6 uni x 473 cc. ,,,"796,00"
3,Corona,Cerveza rubia Corona 330 cc. ,3x2 Max 24 unidades  Iguales,"133,90","89,27"
4,Andes,Cerveza roja Andes Origen 6 x 473 cc. ,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,"682,00","511,50"
5,Corona,Cerveza rubia Corona 710 cc. ,3x2 Max 24 unidades  Iguales,"230,55","153,70"
6,Quilmes,Cerveza negra Quilmes stout 6 x 473 cc. ,,,"471,40"
7,1890,Cerveza rubia 1890 6 x 473 cc. ,,,"471,40"
8,Quilmes,Cerveza rubia Quilmes 473 cc. ,,,"94,80"
9,Amstel,Cerveza blanca Amstel lager lata 473 cc. ,3x2 Max 12 unidades Iguales,"104,00","69,33"
10,Heineken,Cerveza rubia Heineken 473 cc. ,,,"163,80"
11,Imperial,Cerveza rubia Imperial golden 473 cc. ,2do al 50% Mi CRF Max 12 unidades  Iguales,"129,00","96,75"
12,Andes,Cerveza roja Andes Origen retornable 340 cc. ,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,"64,30","48,22"
13,Patagonia,Cerveza roja Patagonia amber lager 6 x 473 cc. ,,,"1.007,00"
14,Schneider,Cerveza rubia Schneider 473 cc. ,,,"99,00"
15,Stella Artois,Cerveza rubia Stella Artois 975 cc. ,,,"251,20"
16,Andes,Cerveza rubia Andes origen ipa 340 cc. ,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,"64,30","48,22"
17,Quilmes,Cerveza rubia Quilmes clásica 1 l. ,,,"131,85"
18,Patagonia,Cerveza rubia Patagonia IPA 6 x 473 cc. ,,,"1.007,00"
19,Patagonia,Cerveza roja Patagonia amber lager 730 cc. ,,,"264,30"
20,Stella Artois,Cerveza negra Stella Artois noire 473 cc. 6 u. ,,,"796,00"
21,Heineken,Cerveza rubia Heineken 710 cc. ,,,"234,00"
22,Imperial,Cerveza rubia Imperial 473 cc. ,2do al 50% Mi CRF Max 12 unidades  Iguales,"128,60","96,45"
23,Patagonia,Cerveza rubia Patagonia 24.7 IPA con sauco 730 cc. ,,,"264,30"
24,Corona,Cerveza rubia Corona 269 cc. 10 u. ,3x2 Max 24 unidades  Iguales,"1.019,00","679,33"
25,Heineken,Cerveza rubia Heineken Retornable 1 l. ,,,"258,30"
26,Andes,Cerveza rubia Andes Origen 1 l. ,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,"190,10","142,58"
27,Brahma,Cerveza rubia Brahma 340 cc. ,,,"42,20"
28,Quilmes,Cerveza negra Quilmes stout 1 l. ,,,"149,30"
29,Patagonia,Cerveza rubia Patagonia bohemian 6 u. x 473 cc. ,,,"1.007,00"
30,Grolsch,Cerveza blanca Grolsch retornable 473 cc. ,3x2 Max 12 unidades Iguales,,
31,Quilmes,Cerveza rubia Quilmes clásica 340 cc. ,,,"43,70"
32,Andes,Cerveza negra Andes Origen 6 x 473 cc. ,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,"682,00","511,50"
33,Patagonia,Cerveza rubia Patagonia hoppy lager 730 cc. ,,,"264,30"
34,Heineken,Cerveza rubia Heineken 330 cc. ,,,"132,40"
35,Schneider,Cerveza rubia Schneider 710 cc. ,,,"147,70"
36,Imperial,Cerveza rubia Imperial lager 710 cc. ,2do al 50% Mi CRF Max 12 unidades  Iguales,"185,00","138,75"
37,Imperial,Cerveza roja amber lager Imperial 473 cc. ,2do al 50% Mi CRF Max 12 unidades  Iguales,"149,00","111,75"
38,Mecklenburger,Cerveza rubia Mecklenburger pilsener 330 cc. ,,,"75,00"
39,Quilmes,Cerveza rubia bajo cero Quilmes 1 l. ,,,"106,35"
40,Andes,Cerveza roja Andes Origen 1 l. ,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,"217,60","163,20"
41,Temple,Cerveza rubia Temple ipa 473 cc. 6 u. ,,,"950,00"
42,Andes,Cerveza rubia Andes IPA retornable 1 l. ,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,"217,60","163,20"
43,Schneider,Cerveza negra Schneider 473 cc. ,,,"100,00"
44,Amstel,Cerveza blanca Amstel lager botella 1 l. ,3x2 Max 12 unidades Iguales,"170,00","113,33"
45,Mecklenburger,Cerveza negra Mecklenburger premium dunkel 500 cc. ,,,"114,00"
46,Miller,Cerveza rubia Miller 710 cc. ,2do al 50% Mi CRF Max 12 unidades  Iguales,"193,50","145,13"
47,Quilmes,Cerveza negra bock Quilmes 473 cc. x 6 uni ,,,"446,90"
48,Sol,Cerveza rubia Sol 473 cc. ,,,"160,00"
49,Warsteiner,Cerveza rubia Warsteiner retornable 1 l. ,,,"173,90"
50,Sol,Cerveza rubia Sol 330 cc. ,,,"127,50"
51,Quilmes,Cerveza roja Quilmes red lager 6 u. x 473 cc. ,,,"471,40"
52,Quilmes,Cerveza roja Quilmes red lager 1 l. ,,,"149,30"
53,Miller,Cerveza blanca Miller porrón 330 cc. ,2do al 50% Mi CRF Max 12 unidades  Iguales,"112,00","84,00"
54,Imperial,Cerveza Imperial amber lager 710 cc. ,2do al 50% Mi CRF Max 12 unidades  Iguales,"220,00","165,00"
55,Stella Artois,Cerveza negra Stella Artois 975 cc. ,,,"251,20"
56,Patagonia,Cerveza rubia Patagonia kune 730 cc. ,,,"264,30"
57,Quilmes,Cerveza negra Quilmes bock 1 l. ,,,"149,30"
58,1890,Cerveza rubia 1890 1 l. ,,,"149,30"
59,Schneider,Cerveza rubia Schneider 1 l. ,,,"130,00"
60,Patagonia,Cerveza rubia Patagonia weisse 6 uni x 473 cc. ,,,"1.007,00"
61,Andes,Cerveza negra Andes Origen 1 l. ,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,"217,60","163,20"
62,Budweiser,Cerveza rubia Budweiser retornable 340 cc. ,,,"48,70"
63,Miller,Cerveza rubia Miller 1 l. ,2do al 50% Mi CRF Max 12 unidades  Iguales,"218,00","163,50"
64,Temple,Cerveza rubia Temple roja 473 cc. 6 u. ,,,"950,00"
65,Warsteiner,Cerveza rubia Warsteiner 473 cc. ,,,"113,00"
66,Imperial,Cerveza roja amber lager Imperial 1 l. ,2do al 50% Mi CRF Max 12 unidades  Iguales,,
67,Mecklenburger,Cerveza sin alcohol Mecklenburger 500 cc. ,,,"129,00"
68,Blue Moon,Cerveza rubia Blue Moon 355 cc. ,,,"236,30"
69,Stella Artois,Cerveza blanca Stella Artois botella 710 cc. ,,,"316,00"
70,Mecklenburger,Cerveza de trigo Mecklenburger weibbier 500 cc. ,,,"114,00"
71,Rabieta,Cerveza roja Rabieta honey 473 cc. ,,,"195,00"
72,Mecklenburger,Cerveza pilsener Mecklenburger 500 cc. ,,,"99,00"
73,Palermo,Cerveza rubia Palermo 1 l. ,,,"138,40"
74,Brahma,Cerveza dorada Brahma botella 710 cc. ,,,"200,00"
75,Rabieta,Cerveza rubia Rabieta golden ale 473 cc. ,,,"195,00"
76,Pampa Brewing,Cerveza ipa Pampa Brewing lata 473 cc. ,,,"170,00"
77,Rabieta,Cerveza roja Rabieta Irish molly otoole 710 cc. ,,,"265,00"
78,Rabieta,Cerveza roja Rabieta ipa 473 cc. ,,,"195,00"
79,Peñon del águila,Cerveza negra Peñón del Águila 473 cc. ,,,"197,00"
80,Peñon del águila,Cerveza rubia Peñón del Águila mexican lager 473 cc. ,,,"197,00"
81,Rabieta,Cerveza rubia Rabieta ipa 473 cc. ,,,"195,00"
82,Rabieta,Cerveza rubia Rabieta golden ale 710 cc. ,,,"265,00"
83,Peñon del águila,Cerveza rubia Peñón del Águila hefeweizen 473 cc. ,,,"197,00"
84,Peñon del águila,Cerveza negra Peñón del Águila schwarzbier 473 cc. ,,,"197,00"
85,Rabieta,Cerveza Rabieta Helles Munich lata 473 cc. ,,,"180,00"
86,Peñon del águila,Cerveza rubia Peñón del águila 473 cc. ,,,"197,00"
87,Peñon del águila,Cerveza rubia Peñón del Águila honigbier 473 cc. ,,,"197,00"
88,Pampa,Cerveza golden ale Pampa brewing lata 473 cc. ,,,"170,00"
89,Peñon del águila,Cerveza rubia Peñón del Águila waldbier 473 cc. ,,,"254,10"
90,Goose Island,Cerveza Goose Island lata 6 uni x 473 cc. ,,,"1.095,00"
91,Pampa Brewing,Cerveza honey Pampa brewing lata 473 cc. ,,,"155,00"
92,Peñon del águila,Cerveza de arándano Peñon del águila 473 cc. ,,,"273,80"
93,Rabieta,Cerveza roja Rabieta ipa 710 cc. ,,,"265,00"
94,Peñon del águila,Cerveza rubia Peñón del Águila maracuyá sour 473 cc. ,,,"273,80"
95,Britvic,Ginger beer Britvic 200 cc. ,,,"164,05"
96,Chachingo,Cerveza ipa Chachingo lata 473 cc. ,,,"220,00"
97,Rabieta,Cerveza rubia Rabieta american Ipa 710 cc. ,,,"265,00"
98,Pampa Brewing,Cerveza amber ale Pampa Brewing lata 473 cc. ,,,"170,00"
99,Antares,Cerveza artesanal IPA Antares lata 473 cc. ,,,"223,80"
100,Rabieta,Cerveza apa Rabieta botella 710 cc. ,,,"265,00"
101,Chachingo,Cerveza pale ale Chachingo lata 473 cc. ,,,"220,00"
102,Antares,Cerveza artesanal scotch Antares botella 500 cc. ,,,"325,00"
103,Antares,Cerveza artesanal kolsch Antares lata 473 cc. ,,,"262,70"
104,Chachingo,Cerveza Chachingo amber lata 473 cc. ,,,"220,00"
105,Antares,Cerveza artesanal honey Antares botella 500 cc. ,,,"325,00"
106,Antares,Cerveza artesanal kirsch Antares botella 500 cc. ,,,"325,00"
107,Peñon del águila,Cerveza choco cake stout Peñón del Águila lata 473 cc. ,,,"272,45"
108,Peñon del águila,Cerveza IPA session Peñón del Águila lata 473 cc. ,,,"298,80"
109,Peñon del águila,Cerveza american amber Peñón del Águila lata 473 cc. ,,,"298,80"
